"If you want to 100% check your qb vs this list, the only way I know is to copy/paste your qb from /qb list # command BELOW the last row of this column. Then do a Find and Replace under Edit, Find the following without quotes """" and replace with nothing. After you do this any qb you already have will be highlighted, you can then filter out these higlights using filter by color. (if you need help message Angrboa)",,,,,
Asherons Call Custom Quest QB List,QBs Tracked: 3959,,,,
TumerokGladiatorKillTask,Tumerok_Gladiator_Kill_Task,,,Tumerok Gladiator Kill Task,FALSE
tumerokgladiatorkillcount,Tumerok_Gladiator_Kill_Task,,,Tumerok Gladiator Kill Counter,FALSE
TukoraLieutenantKillTask,Tukora_Lieutenant_Kill_Task,,,Tukora Lieutenant Kill Task,FALSE
tradejestercard,Jester's_Cards,,,Trading Jester card,FALSE
TradeAllianceQuestCompleted,Trade_Alliance_Quest,,,Trade Alliance Quest wait timer.,FALSE
coveapplewine,Trade_Alliance_Quest,,,Trade Alliance Quest Pickup Timer on Cove Apple Wine,FALSE
50to11BrokerContractsA,Broker_Contracts,,,Tracks which quests have been completed for Contract Brokers quest,FALSE
50to11BrokerContractsB,Broker_Contracts,,,Tracks which quests have been completed for Contract Brokers quest,FALSE
TracingTheStone,Tracing_The_Stone,,,Tracing The Stone,FALSE
AmeliaToysFound,Amelia's_Lost_Toys,,,Toys Found Bitfield,FALSE
CarenziRacerMoves,Carenzi_Races,,,Total of moves for a racer to reach finish line in Carenzi Race,FALSE
CarenziRaceWins,Carenzi_Races,,,Total Carenzi Race Wins,FALSE
TorgashsTasks,Torgash's_Tasks,,,Torgash's Tasks,FALSE
RuinedWatcherTokenGiven,Gateway_to_the_Deep,,,Token given to Ruined Watcher,FALSE
Feb01CLQuest9,Retired,Used to obtain a titan mana charge from Hieromancer's Armor,,Titan Mana Charge,FALSE
VariniaFails,Non-quest,,,Times player can incorrectly guess Varinia passwords,FALSE
HeaBoneHeadTurnin,Hea_Bone_and_Hide_Shirt_Quest,,,Timer for turning in Hagras Head,FALSE
TunnelOfLoveCoolDown,Tunnel_of_Love_Quest,,,Timer for turn in of Butterscotch Suckling to Xireri,FALSE
HeaBoneTreatyTimer,Hea_Bone_and_Hide_Shirt_Quest,,,Timer for reward from Hagras Treaty,FALSE
HeaBoneHeadTimer,Hea_Bone_and_Hide_Shirt_Quest,,,Timer for reward from Hagras Head,FALSE
KeepSupply,,,,Timer for Keep supply bonus reward,FALSE
solidmukkirorbnotespickup,Faces_of_the_Mukkir_(Mid),,,Timer for Halmera's Encoded Notes pickup,FALSE
detailmukkirorbnotespickup,Faces_of_the_Mukkir_(High),,,Timer for Gabille's Encoded Notes pickup,FALSE
EggRetrievalStarted,,,,Timer for Egg Retrieval,FALSE
SpiritDefendedWait,Defeat_Hoshino_Kei,,,Timer for defending a spirit in Hoshino Must Die.,FALSE
plainmukkirorbnotespickup,Faces_of_the_Mukkir_(Low),,,Timer for Alizari's Encoded notes pickup,FALSE
ZenithPhase,Portal_Space_Rifts,,,Time window for using the Rift Closing Device to spawn a Zenith in the Portal Space Rifts quest,FALSE
VendorTimaruArmorer,Non-quest,,,Timaru NPCs will recognize players who return to them within the next 60 minutes,FALSE
VendorTimaruBarkeep,Non-quest,,,Timaru NPCs will recognize players who return to them within the next 60 minutes,FALSE
VendorTimaruBowyer,Non-quest,,,Timaru NPCs will recognize players who return to them within the next 60 minutes,FALSE
VendorTimaruHealer,Non-quest,,,Timaru NPCs will recognize players who return to them within the next 60 minutes,FALSE
VendorTimaruJeweler,Non-quest,,,Timaru NPCs will recognize players who return to them within the next 60 minutes,FALSE
VendorTimaruShopkeep,Non-quest,,,Timaru NPCs will recognize players who return to them within the next 60 minutes,FALSE
AunKiller,Non-quest,,,Timaru Collector will stamp players who bring him Aun Pendants and refuse to trade with them again.,FALSE
TanningOilTanuaGiven,Buadren_Quest,,,Tikakhe has given players the tanning oil,FALSE
KillTaskThreeEyedSnowmanwait,Three_Eyed_Snowman_Kill_Task,,,Three Eyed Snowman Kill Task Wait timer,FALSE
PalenqualCompleted,Palenqual's_Living_Weapons,,,This stamp will alert Aun Imeitanua upon use that they have already spoken with him and exchanged their talisman for a weapon.,FALSE
PalenqualHoeroaGiven,Palenqual's_Living_Weapons,,,This stamp will alert Aun Imeitanua upon give that they have already spoken with him and should return the item.,FALSE
PalenqualOkaneGiven,Palenqual's_Living_Weapons,,,This stamp will alert Aun Imeitanua upon give that they have already spoken with him and should return the item.,FALSE
PalenqualTaiahaGiven,Palenqual's_Living_Weapons,,,This stamp will alert Aun Imeitanua upon give that they have already spoken with him and should return the item.,FALSE
PalenqualTewhateGiven,Palenqual's_Living_Weapons,,,This stamp will alert Aun Imeitanua upon give that they have already spoken with him and should return the item.,FALSE
PalenqualWaaikaGiven,Palenqual's_Living_Weapons,,,This stamp will alert Aun Imeitanua upon give that they have already spoken with him and should return the item.,FALSE
ForgetfulnessGems3,Attribute_and_Skill_Redistribution,,,Third Forgetfulness gems received counter,FALSE
AttributeGems3,Attribute_and_Skill_Redistribution,,,Third attribute gems received counter,FALSE
BestowerLife2,Bestowers'_Guild_of_Dereth,,,Theurgist,FALSE
ExplorationMarkersThemes,Dereth_Exploration,,,Theme Group of Exploration Markers found.,FALSE
CrossedRoad,,,,The Chicken has crossed the road.,FALSE
EmoteTestSwordQuest,,,,Test Emote Sword Quest,FALSE
EmoteTestPortal,,,,Test Emote Portal Quest,FALSE
EmoteTestNPCQuest,,,,Test Emote NPC Quest,FALSE
EmoteTestDrudgeKillerQuest,,,,Test Emote Drudge Quest,FALSE
KillTaskTentacleofTthuunWait_0908,Weeding_of_the_Deru_Tree,,,Tentacle of Tthuun Kill Task wait timer,FALSE
KillTaskMcGreggorTentacleWait_0908,Weeding_of_the_Deru_Tree,,,Tentacle of Tthuun Kill Task for Valerian McGreggor wait timer,FALSE
KillTaskMcGreggorTentacle_0908,Weeding_of_the_Deru_Tree,,,Tentacle of Tthuun Kill Task for Valerian McGreggor,FALSE
KillTaskTentacleofTthuun_0908,Weeding_of_the_Deru_Tree,,,Tentacle of Tthuun Kill Task,FALSE
ShoushiGreetingGiven,Elysa's_Favor_Quest,,,Tenshin has said hello to player,FALSE
KillTaskRiftTenebrous0907,Tenebrous_Rift_Kill_Task,,,Tenebrous Rift Kill Task Counter,FALSE
KillTaskRiftTenebrousWait0907,Tenebrous_Rift_Kill_Task,,,Tenebrous Rift Kill Task,FALSE
FalatacotMagicResistance,,,,Teachings of the Falatacot,FALSE
CaoCaoFirstSpeak,Oswald's_Dirk_Quest,,,TBD,FALSE
MuMuFirstSpeak,Oswald's_Dirk_Quest,,,TBD,FALSE
PoPoFirstSpeak,Oswald's_Dirk_Quest,,,TBD,FALSE
ShimShimFirstSpeak,Oswald's_Dirk_Quest,,,TBD,FALSE
SpeakCorrect,Oswald's_Dirk_Quest,,,TBD,FALSE
SpeakIncorrect,Oswald's_Dirk_Quest,,,TBD,FALSE
SpokenBrighteyes,Oswald's_Dirk_Quest,,,TBD,FALSE
TuskerMask,,,,TBD,FALSE
IHOPwait,Tanada_House_of_Pancakes_Quest,,,Tanada House of Pancakes reward cooldown,FALSE
TalkedToZaikhalJeweler,,,,Talked to ROT2 Jeweler,FALSE
TalkedToExStudentROT2,,,,Talked to Cydna Wren,FALSE
TakenBlackBookPages,Pages_of_Salt_and_Ash,,,Taken a set of pages of the Black Book of Salt and Ash,FALSE
BestowerSword1,Bestowers'_Guild_of_Dereth,,,Swordfighter,FALSE
BestowerXBow2,Bestowers'_Guild_of_Dereth,,,Sureshot,FALSE
StoneholdTranscription,Frore,,,Stonehold Frore Transcription,FALSE
stonetool,Stone_Tool_Quest,,,Stone Tool Quest,FALSE
stingingstoneminor,Stinging_Stone_Quest,,,Stinging Stone Minor Quest,FALSE
stingingstonemajor,Stinging_Stone_Quest,,,Stinging Stone Major Quest,FALSE
BloodstoneFactoryStarted_0211,Bloodstone_Investigation,,,Started Bloodstone Investigation,FALSE
BestowerStaff1,Bestowers'_Guild_of_Dereth,,,Staff Warrior,FALSE
ReignofTerrorStarted_0511,Renegade_Mace_Quest,,,Spoke with Sergeant Maloth,FALSE
QuestZaikhalDefenseAcquired,Defense_of_Zaikhal_(Platinum),,,Spoke with Jun Sawashima to start Zaikhal Defense,FALSE
askedlacarrafirst,Disturbance_in_the_Ley_Lines,,,Spoke to Lacarra First,FALSE
SpectralSamuraiKillTask,Spectral_Samurai_Kill_Task,,,Spectral Samurai Kill Task,FALSE
spectralsamuraikillcount,Spectral_Samurai_Kill_Task,,,Spectral Samurai Kill Counter,FALSE
SpectralNanjouShoujenKillTask,Spectral_Nanjou_Shou-jen_Kill_Task,,,Spectral Nanjou Shou-jen Kill Task,FALSE
spectralnanjoushoujenkillcount,Spectral_Nanjou_Shou-jen_Kill_Task,,,Spectral Nanjou Shou-jen Kill Counter,FALSE
SpectralMinionKillTask,Spectral_Minion_Kill_Task,,,Spectral Minion Kill Task,FALSE
spectralminionkillcount,Spectral_Minion_Kill_Task,,,Spectral Minion Kill Counter,FALSE
SpectralMageKillTask,Spectral_Mage_Kill_Task,,,Spectral Mage Kill Task,FALSE
spectralmagekillcount,Spectral_Mage_Kill_Task,,,Spectral Mage Kill Counter,FALSE
SpectralBushiKillTask,Spectral_Bushi_Kill_Task,,,Spectral Bushi Kill Task,FALSE
spectralbushikillcount,Spectral_Bushi_Kill_Task,,,Spectral Bushi Kill Counter,FALSE
SpectralBladeandClawKillTask,Spectral_Blade_and_Claw_Kill_Task,,,Spectral Blade and Claw Kill Task,FALSE
spectralbladeandclawkillcount,Spectral_Blade_and_Claw_Kill_Task,,,Spectral Blade and Claw Kill Counter,FALSE
SpectralArcherKillTask,Spectral_Archer_Kill_Task,,,Spectral Archer Kill Task,FALSE
spectralarcherkillcount,Spectral_Archer_Kill_Task,,,Spectral Archer Kill Counter,FALSE
BestowerSpear1,Bestowers'_Guild_of_Dereth,,,Spear Warrior,FALSE
sparkingstoneminor,Sparking_Stone_Quest,,,Sparking Stone Minor Quest,FALSE
sparkingstonemajor,Sparking_Stone_Quest,,,Sparking Stone Major Quest,FALSE
WitheredAtollStaff0105,Withered_Weapons,,,Soulless Staff pickup,FALSE
SocAugZoneATotalDead,Society_Infiltration,,,Society Aug Dungeon Zone A West Killed,FALSE
SocAugPrisonersFree,Society_Infiltration,,,Society Aug Dungeon Prisoners Freed,FALSE
SnowTuskerKillWarriorTask,Snow_Tusker_Kill_Task,,,Snow Tusker Warrior Kill Task,FALSE
SnowTuskerKillTask,Snow_Tusker_Kill_Task,,,Snow Tusker Kill Task,FALSE
BestowerXBow1,Bestowers'_Guild_of_Dereth,,,Sniper,FALSE
smolderingstoneminor,Smoldering_Stone_Quest,,,Smoldering Stone Minor Quest,FALSE
KillTaskSmallFledglingMukkirCompleted0806,Small_Fledgling_Mukkir_Kill_Task,,,Small Fledgling Mukkir Kill Task Timer,FALSE
SmallFledglingMukkirKillTask,Small_Fledgling_Mukkir_Kill_Task,,,Small Fledgling Mukkir Kill Task,FALSE
KillTaskSmallFledglingMukkir0806,Small_Fledgling_Mukkir_Kill_Task,,,Small Fledgling Mukkir Kill Counter,FALSE
smallfledglingmukkirkillcount,Small_Fledgling_Mukkir_Kill_Task,,,Small Fledgling Mukkir Kill Counter,FALSE
SlithisTentaclesKillTask,,,,Slithis Tentacles Kill Task,FALSE
slithistentacleskillcount,,,,Slithis Tentacles Kill Counter,FALSE
BestowerDagger2,Bestowers'_Guild_of_Dereth,,,Slicer,FALSE
BestowerAxe2,Bestowers'_Guild_of_Dereth,,,Skullsplitter,FALSE
BestowerMace2,Bestowers'_Guild_of_Dereth,,,Skullcrusher,FALSE
HopeslayerSkull,Empyrean_Cloister_Quest,,,Skull of Avoren Palacost,FALSE
SishaltiSlithisKillTask,Sishalti_Slithis_Kill_Task,,,Sishalti Slithis Kill Task,FALSE
SilyunFlagged,,,,Silyun flagged,FALSE
NewbieQuestStampShoushi,Retired,,,Shoushi Stamp Quest,FALSE
ShoguthMoarsmanKillTask,Shoguth_Moarsman_Kill_Task,,,Shoguth Moarsman Kill Task,FALSE
shoguthmoarsmankillcount,Shoguth_Moarsman_Kill_Task,,,Shoguth Moarsman Kill Counter,FALSE
ShadowArmorSho3,Retired,,,Sho Shadow Armor 3,FALSE
ShadowArmorSho2,Retired,,,Sho Shadow Armor 2,FALSE
ShadowArmorSho1,Retired,,,Sho Shadow Armor 1,FALSE
shiveringstoneminor,Shivering_Stone_Quest,,,Shivering Stone Minor Quest,FALSE
shiveringstonemajor,Shivering_Stone_Quest,,,Shivering Stone Major Quest,FALSE
ShendolainCrystal,Shendolain_Vestibule_Quest,,,Shendolain Crystal,FALSE
ShardSoulCrystal,,,,Shard of the Soul Crystal,FALSE
ShamblingArchivistDestroyer,Shambling_Archivist_Destroyer,,,Shambling Archivist Destroyer,FALSE
ShallowsGorgerKillTask,Shallows_Gorger_Kill_Task,,,Shallows Gorger Kill Task,FALSE
shallowsgorgerkillcount,Shallows_Gorger_Kill_Task,,,Shallows Gorger Kill Counter,FALSE
ShadowTouchedVirindiQuidioxKillTask,Shadow-touched_Virindi_Quidiox_Kill_Task,,,Shadow-touched Virindi Quidiox Kill Task,FALSE
shadowtouchedvirindiquidioxkillcount,Shadow-touched_Virindi_Quidiox_Kill_Task,,,Shadow-touched Virindi Quidiox Kill Counter,FALSE
ShadowTouchedVirindiParadoxKillTask,Shadow-touched_Virindi_Paradox_Kill_Task,,,Shadow-touched Virindi Paradox Kill Task,FALSE
shadowstone,,,,Shadow Stone Quest,FALSE
ShadowCaptainsHeaume,Shadow_Captain's_Heaume_Quest,,,Shadow Captain's Heaume,FALSE
GYColoRewardGiverInProgress,Lord_Mhoire_Quest,,,Shade of Lord Cynreft Spawned,FALSE
ShadeIronStarted,Shade_Iron,,,Shade Iron Started,FALSE
ShadeIronWait,Shade_Iron,,,Shade Iron quest cooldown,FALSE
ShadeIronComplete,Shade_Iron,,,Shade Iron Complete,FALSE
WaspWingDone1,,,,Second verson of above so Collector will work,FALSE
TokenAcademyGiven,,,,Second version of above so the NPC's use string will work,FALSE
AttributeGems2,Attribute_and_Skill_Redistribution,,,Second attribute gems received counter,FALSE
SarcophagusKillTask,Sarcophagus_Kill_Task,,,SarcophagusKillTask,FALSE
SarcophagusKillCount,Sarcophagus_Kill_Task,,,SarcophagusKillCount,FALSE
SanctumGuardianKillTask,Harvesting_the_Bulb_of_Mornings,,,Sanctum Guardian Spirit KillTask for Harvesting the Bulb of Mornings quest.,FALSE
SanctumGuardianKillTask_Completed,Harvesting_the_Bulb_of_Mornings,,,Sanctum Guardian Spirit KillTask completed.,FALSE
RynthidSorcerersKillTask,Kill:_Rynthid_Sorcerers,,,Rynthid Sorcerers Kill Task,FALSE
rynthidsorcererskillcount,Kill:_Rynthid_Sorcerers,,,Rynthid Sorcerers Kill Counter,FALSE
RynthidSlayersKillTask,Kill:_Rynthid_Slayers,,,Rynthid Slayers Kill Task,FALSE
rynthidslayerskillcount,Kill:_Rynthid_Slayers,,,Rynthid Slayers Kill Counter,FALSE
RynthidRiftsKillTask,Kill:_Rynthid_Rifts,,,Rynthid Rifts Kill Task,FALSE
rynthidriftskillcount,Kill:_Rynthid_Rifts,,,Rynthid Rifts Kill Counter,FALSE
RynthidRareBossKillTask,Kill:_Rynthid_Rare_Boss,,,Rynthid Rare Boss Kill Task,FALSE
rynthidrarebosskillcount,Kill:_Rynthid_Rare_Boss,,,Rynthid Rare Boss Kill Counter,FALSE
RynthidRagersKillTask,Kill:_Rynthid_Ragers,,,Rynthid Ragers Kill Task,FALSE
rynthidragerskillcount,Kill:_Rynthid_Ragers,,,Rynthid Ragers Kill Counter,FALSE
RynthidMinionsKillTask,Kill:_Rynthid_Minions,,,Rynthid Minions Kill Task,FALSE
rynthidminionskillcount,Kill:_Rynthid_Minions,,,Rynthid Minions Kill Counter,FALSE
RynthidCrystalKillTask,Rynthid_Crystal_Kill_Task,,,Rynthid Crystal Kill Task,FALSE
rynthidcrystalkillcount,Rynthid_Crystal_Kill_Task,,,Rynthid Crystal Kill Counter,FALSE
RuschkKillTask,Ruschk_Kill_Task,,,Ruschk Kill Task,FALSE
ruschkkillcount,Ruschk_Kill_Task,,,Ruschk Kill Counter,FALSE
PickedUpRuschkFuneraryFetish,Loyalty_Reset_Quest,,,Ruschk Funerary Fetish pickup timer,FALSE
LorcaNecklaceCompleted_1111,The_Missing_Necklace,,,Returned Lorca Sammel's Lost Necklace,FALSE
ShoushiBraidRing1204,Lou_Ka's_Stolen_Items,,,Retreive Bai Den's Ring,FALSE
RepugnantEaterKillTask,Repugnant_Eater_Kill_Task,,,Repugnant Eater Kill Task,FALSE
renaldsoldmug,Trade_Alliance_Quest,,,Renald's Old Mug pickup,FALSE
RemoranSeaRaptorKillTask,Remoran_Sea_Raptor_Kill_Task,,,Remoran Sea Raptor Kill Task,FALSE
remoransearaptorkillcount,Remoran_Sea_Raptor_Kill_Task,,,Remoran Sea Raptor Kill Counter,FALSE
RegaliaMask,Heritage_Regalia_Masks,,,Regalia Quest,FALSE
ReefhuntersReckReckBlue126,Lord_Test,,,Reefhunters Riddle,FALSE
ReefhuntersReckReckGreen112,Lord_Test,,,Reefhunters Riddle,FALSE
ReefhuntersReckReckRed150,Lord_Test,,,Reefhunters Riddle,FALSE
ReedsharkHuntingNeftetKillTask,Reedshark_Hunting:_Lost_City_of_Neftet,,,Reedshark Hunting Neftet Kill Task,FALSE
reedsharkhuntingneftetkillcount,Reedshark_Hunting:_Lost_City_of_Neftet,,,Reedshark Hunting Neftet Kill Counter,FALSE
GaveRedStone,Aerbax's_Prodigal_Lugian,,,Red Stone hand in Trial of the Mind,FALSE
redmonsterseed,House_Plants,,,Red Monster Seed counter,FALSE
SandMiniTwo_Wait_0511,,,,Red Crystal Sword quest,FALSE
DarkMonolithReceived,Dark_Monolith_Quest,,,Received a Dark Monolith,FALSE
HatchRareIdolPickup,Ulgrim's_Hatch,,,Rare Idol Pickup,FALSE
KilltaskRareGameWait_0609,Rare_Game_Kill_Task,,,Rare Game Kill Task Wait Timer,FALSE
RareGameKillTask,Rare_Game_Kill_Task,,,Rare Game Kill Task,FALSE
raregamekillcount,Rare_Game_Kill_Task,,,Rare Game Kill Counter,FALSE
EggRetrievalProgress,,,,Questbit Tracker for Egg Retrieval,FALSE
AbductedCompleted_0313,Liberation_Of_Uziz,,,quest timer,FALSE
AcidZenithDead,Portal_Space_Rifts,,,quest timer,FALSE
AerfalleOrnateTokenPickup,Lady_Aerfalle_Quest,,,quest timer,FALSE
AngerSplinterPickup,Seed_of_Power,,,quest timer,FALSE
AshbaneExtremeTurnedIn,Lady_Aerfalle_Quest,,,quest timer,FALSE
AvariceRewarded_0813,,,,quest timer,FALSE
BloodstoneFactoryKeyPickup,Bloodstone_Investigation,,,quest timer,FALSE
BloodstoneFactoryLargeTomePickup,Bloodstone_Investigation,,,quest timer,FALSE
BroodPincerPickup,Olthoi_Pincers,,,quest timer,FALSE
BTMCompleted_0513,,,,quest timer,FALSE
BTMPickup_0513,,,,quest timer,FALSE
BTMStarted_0513,,,,quest timer,FALSE
ChangingGearsCompleted_0813,Rynthid_Foundry_Quest,,,quest timer,FALSE
chestchorizite48757,Chorizite_Chest,,,quest timer,FALSE
chestchorizite48759,Chorizite_Chest,,,quest timer,FALSE
chestchorizite48766,Chorizite_Chest,,,quest timer,FALSE
chestchorizite48767,Chorizite_Chest,,,quest timer,FALSE
chestchorizite72326,Chorizite_Chest,,,quest timer,FALSE
chestchorizite72526,Chorizite_Chest,,,quest timer,FALSE
chestchorizite72616,Chorizite_Chest,,,quest timer,FALSE
CleansingTheThroneStart_1209,Castle_of_Lord_Mhoire_Quest,,,quest timer,FALSE
CleansingTheThroneWaiting_1209,Castle_of_Lord_Mhoire_Quest,,,quest timer,FALSE
CodedTanadaScrollPickup,Tanada_Intercept,,,quest timer,FALSE
CrimsonScarabPickup,End_of_Days,,,quest timer,FALSE
DeconstructionCompleted_0213,Save_Karul,,,quest timer,FALSE
DefeatHoshinoKeiCompleted_0113,Defeat_Hoshino_Kei,,,quest timer,FALSE
ElectricZenithDead,Portal_Space_Rifts,,,quest timer,FALSE
EODCompleted_1013,End_of_Days,,,quest timer,FALSE
EODKeyPickup_1013,End_of_Days,,,quest timer,FALSE
FireZenithDead,Portal_Space_Rifts,,,quest timer,FALSE
FirstLieutenantInsigniaPickup,Hoshino_Fortress_Infiltration,,,quest timer,FALSE
FreedTempleExarch,Hoshino_Fortress_Infiltration,,,quest timer,FALSE
FrostZenithDead,Portal_Space_Rifts,,,quest timer,FALSE
GaveGeraineHeart2,Geraine's_Hosts,,,quest timer,FALSE
GaveGeraineHeart4,Geraine's_Hosts,,,quest timer,FALSE
GaveGeraineHeart5,Geraine's_Hosts,,,quest timer,FALSE
GaveGeraineHeart6,Geraine's_Hosts,,,quest timer,FALSE
GaveGeraineHeart7,Geraine's_Hosts,,,quest timer,FALSE
GaveJailerPyramid,Releasing_Jester,,,quest timer,FALSE
GaveJesterLetter,Releasing_Jester,,,quest timer,FALSE
GavePleadingLetter,Lord_Mhoire_Quest,,,quest timer,FALSE
GaveTuningFork,Hive_Queen_Assault,,,quest timer,FALSE
GenesisCompleted_0813,,,,quest timer,FALSE
GeraineHeart1,Geraine's_Hosts,,,quest timer,FALSE
GeraineHeart2,Geraine's_Hosts,,,quest timer,FALSE
GeraineHeart3,Geraine's_Hosts,,,quest timer,FALSE
GeraineHeart4,Geraine's_Hosts,,,quest timer,FALSE
GeraineHeart5,Geraine's_Hosts,,,quest timer,FALSE
GeraineHeart6,Geraine's_Hosts,,,quest timer,FALSE
GeraineHeart7,Geraine's_Hosts,,,quest timer,FALSE
GotJesterLocation,Lord_Mhoire_Quest,,,quest timer,FALSE
HatredSplinterPickup,Seed_of_Power,,,quest timer,FALSE
HiveQueenKill,,,,quest timer,FALSE
HiveWarriorPincer_0513,Hive_Warrior_Pincer_Quest,,,quest timer,FALSE
HoshinoDoorCounter,Hoshino_Fortress_Infiltration,,,quest timer,FALSE
HoshinoFortArmorPickup,Hoshino_Fortress_Infiltration,,,quest timer,FALSE
HoshinoFortKeyPickup,Hoshino_Fortress_Infiltration,,,quest timer,FALSE
HoshinoFortPart2,Hoshino_Fortress_Infiltration,,,quest timer,FALSE
HoshinoMnemosyne1,Hoshino_Fortress_Infiltration,,,quest timer,FALSE
HoshinoMnemosyne2,Hoshino_Fortress_Infiltration,,,quest timer,FALSE
HoshinoMnemosyne3,Hoshino_Fortress_Infiltration,,,quest timer,FALSE
HoshinoMnemosynesDone,Hoshino_Fortress_Infiltration,,,quest timer,FALSE
HoshinoTowerComplete_0812,,,,quest timer,FALSE
HoshinoTowerShortcut,,,,quest timer,FALSE
IDOQCompleted_0413,,,,quest timer,FALSE
IDOQStarted_0413,,,,quest timer,FALSE
JesterCanDoPart2,Releasing_Jester,,,quest timer,FALSE
JesterFree0308,Releasing_Jester,,,quest timer,FALSE
JesterPart1Wait,Releasing_Jester,,,quest timer,FALSE
JesterReachedCell,Releasing_Jester,,,quest timer,FALSE
JesterReachedHallway,Releasing_Jester,,,quest timer,FALSE
JesterRepeatRun0308,Releasing_Jester,,,quest timer,FALSE
KidnapPrincessComplete_0410,Kidnapped_Handmaiden,,,quest timer,FALSE
KidnapPrincessStarted_0410,Kidnapped_Handmaiden,,,quest timer,FALSE
KillTaskEnragedShadowsWait,,,,quest timer,FALSE
KillTaskGuardianStatue,,,,quest timer,FALSE
KillTaskGuardianStatueWait,,,,quest timer,FALSE
KillTaskRynthidCrystalsWait,,,,quest timer,FALSE
